"ID","TRAIN_ID","DESTINATION_CODE","GROUP_TRAIN_ID","LOCAL_SUB_ID","GLOBAL_SUB_ID","TRAIN_ATTRIBUTE","STATION","PLATFORM","ARRIVAL_DEPARTURE_FLAG","TO_DATE('1970-1-1','YYYY-MM-DD","TO_DATE('1970-1-1','YYYY-MM-DD","TIME_DIFF_FROM_SCHD"
"1","104","96","000","6","409","16388","14","1","A","2014/4/30 4:24:56","2014/4/30 4:24:47","-9"
"2","104","96","000","6","409","16388","14","1","D","2014/4/30 4:25:31","2014/4/30 4:25:12","-19"
"3","104","96","000","6","409","16388","13","1","A","2014/4/30 4:26:59","2014/4/30 4:26:29","-30"
"4","104","96","000","6","409","16388","13","1","D","2014/4/30 4:27:42","2014/4/30 4:27:24","-18"
"5","104","96","000","6","409","16388","12","1","A","2014/4/30 4:29:49","2014/4/30 4:29:20","-29"
"6","104","96","000","6","409","16388","12","1","D","2014/4/30 4:30:08","2014/4/30 4:29:55","-13"
"7","104","96","000","6","409","16388","11","1","A","2014/4/30 4:31:52","2014/4/30 4:31:30","-22"
"8","104","96","000","6","409","16388","11","1","D","2014/4/30 4:32:16","2014/4/30 4:32:05","-11"
"9","104","96","000","6","409","16388","10","1","A","2014/4/30 4:33:49","2014/4/30 4:33:26","-23"
"10","104","96","000","6","409","16388","10","1","D","2014/4/30 4:34:15","2014/4/30 4:33:56","-19"
"11","104","96","000","6","409","16388","9","1","A","2014/4/30 4:35:52","2014/4/30 4:35:28","-24"
"12","104","96","000","6","409","16388","9","1","D","2014/4/30 4:36:14","2014/4/30 4:35:58","-16"
"13","104","96","000","6","409","16388","8","1","A","2014/4/30 4:38:03","2014/4/30 4:37:45","-18"
"14","104","96","000","6","409","16388","8","1","D","2014/4/30 4:38:36","2014/4/30 4:38:30","-6"
"15","104","12","000","6","409","4","16","2","D","2014/4/30 4:38:47","2014/4/30 4:38:47","0"
"16","104","96","000","6","409","16388","7","1","A","2014/4/30 4:40:20","2014/4/30 4:40:03","-17"
"17","104","96","000","6","409","16388","7","1","D","2014/4/30 4:40:44","2014/4/30 4:40:48","4"
"18","104","96","000","6","409","16388","6","1","A","2014/4/30 4:42:36","2014/4/30 4:42:33","-3"
"19","104","96","000","6","409","16388","6","1","D","2014/4/30 4:43:07","2014/4/30 4:43:08","1"
