district,hurt,time,place,lat,lng
3101176201400120,伤人事故,2014-8-29 18:30:00,泗陈公路出佘北公路东约2米,31.114912941851,121.19009819539
3101182201400410,死亡事故,2014-8-12 22:55:00,嘉松中路出华隆路南约3000米,31.203728636498,121.22773630963
3101158201500130,死亡事故,2015-4-15 8:10:00,大川公路进周祝公路北约500米,31.072753125437,121.74181840003
3101121201400290,死亡事故,2014-11-26 11:50:00,苏召路立跃路北约200米,31.096269316572,121.54838226453
3101155201400390,死亡事故,2014-9-11 15:05:00,港城路出杨高北路西约300米,31.357712231187,121.5555400329
3101158201400290,死亡事故,2014-7-2 7:18:00,康新公路进新卫路南约40米,31.043728831207,121.64744700181
3101173201400080,死亡事故,2014-7-5 8:06:00,新绿街进新绿街新颖路西约150米,30.937711178951,121.07366747258
3101087201400020,伤人事故,2014-7-23 12:40:00,江场西路原平路东约5米,31.303404068589,121.43781703294
3101171201400100,财产损失事故,2014-7-19 10:35:00,辰花公路出光星路西约100米,31.075595019687,121.26178054966
3101087201400020,死亡事故,2014-7-7 20:17:00,天目中路大统路东约1米,31.25107318478,121.47441343797
3102303201400110,死亡事故,2014-9-25 16:15:00,协定公路协津公路西约500米,31.719182842276,121.41591222857
3101120201400170,死亡事故,2014-7-7 23:39:00,剑川路进莲花南路东约300米,31.024352390538,121.39926457394
3101153201400320,死亡事故,2014-7-21 17:22:00,御青路京浦路西约20米,31.164683720437,121.57804788054
3101170201400080,死亡事故,2014-7-7 17:25:00,塔闵公路出松卫北路西约1000米,31.035166099497,121.26878319953
3101127201400170,死亡事故,2014-7-17 18:05:00,沪闵路贵都路南约5米,31.083811544801,121.40916330239
3101128201400170,伤人事故,2014-7-16 22:23:00,春西路申旺路南约30米,31.090540118845,121.38923770131
3101177201400120,死亡事故,2014-8-23 22:58:00,昆港公路出新港路南约80米,31.04911167282,121.14213216568
3101151201400340,死亡事故,2014-8-3 11:55:00,汇成路园西路东约1米,31.038024472683,121.71659916992
3101172201400090,死亡事故,2014-7-11 15:33:00,滨湖路出新松江路南约100米,31.047123502082,121.21805648745
3101146201400140,死亡事故,2014-10-30 22:50:00,外钱公路进墨玉北路东约300米,31.361431259298,121.14730240077
3101151201400410,死亡事故,2014-9-18 19:25:00,东川公路上川路北约600米,31.283241387621,121.66716477721
3101124201400210,伤人事故,2014-9-3 12:16:00,春都路都庄路东约100米,31.0886692197,121.42281218955
3101173201400090,死亡事故,2014-7-9 19:34:00,嘉松南路沈砖公路东北约20米,31.080225967434,121.23766998575
3101129201400200,伤人事故,2014-8-24 20:07:00,三鲁公路立跃路北约400米,31.065041532741,121.53471142009
3101126201400180,伤人事故,2014-7-20 22:04:00,联跃路浦星公路东约0米,31.051346996107,121.51922460256
3101121201400160,死亡事故,2014-7-6 20:51:00,沪闵路莘建路南约300米,31.111517286016,121.38301056757
3101121201400190,伤人事故,2014-7-29 11:37:00,立跃路立民路北约0米,31.112839738953,121.56198809321
3101086201400020,死亡事故,2014-7-21 10:34:00,共和新路出彭江路北约100米,31.291094755628,121.46406473572
3101175201400100,伤人事故,2014-7-18 17:45:00,方泗公路进九干路南约200米,31.136157000972,121.28028966667
3101107201400040,死亡事故,2014-10-23 9:23:00,政立路淞沪路东北约1米,31.313693988145,121.51139960519
3101151201400350,死亡事故,2014-8-5 17:09:00,张杨北路航津路东约10米,31.337690362703,121.59505392852
3101154201400390,死亡事故,2014-9-11 19:57:00,张东路祖冲之路东约1米,31.225534899271,121.63921104944
3101126201400170,伤人事故,2014-7-6 21:58:00,漕宝路进龙茗路东约100米,31.165939946502,121.40316343724
3101152201400440,死亡事故,2014-10-4 7:15:00,东高路张杨北路西约5米,31.295736434998,121.59318476496
3103013201400000,伤人事故,2014-7-20 22:25:00,沪渝高速北侧中春路下匝道后约1000米,31.121332054514,121.36987807493
3101153201400290,死亡事故,2014-7-2 21:40:00,五洲大道北侧申江路上匝道,31.309714037745,121.60654252387
3101160201400060,死亡事故,2014-8-6 8:56:00,金展路林贤路南约200米,30.885945815636,121.32424509645
3101175201400080,伤人事故,2014-7-3 3:30:00,沪昆高速北侧36km约900米,31.249161710015,121.48789948569
3101184201400390,死亡事故,2014-8-2 21:38:00,崧泽大道出赵重公路东约1500米,31.203830925045,121.19157680985
3101057201400020,死亡事故,2014-7-14 15:28:00,北翟路出剑河路西约100米,31.229478221333,121.35205662515
3101173201400090,死亡事故,2014-7-12 19:40:00,玉树路进兴仓路北约80米,31.003973998226,121.21585621207
3101138201400130,伤人事故,2014-7-23 4:05:00,外环高速东侧85km约200米,31.249161710015,121.48789948569
3101136201400150,死亡事故,2014-8-29 18:32:00,恒高路进江杨南路东约30米,31.331147777233,121.47668604491
3101183201400380,死亡事故,2014-7-23 8:01:00,嘉松中路纪鹤公路西北约10米,31.255227002715,121.2106395813
3101120201400160,死亡事故,2014-7-4 10:50:00,老沪闵路进华泾路西约200米,31.125135569773,121.45455259933
3101180201400380,死亡事故,2014-7-26 0:57:00,新胜路进白石公路南约500米,31.26325941637,121.10836464327
3101049201400040,死亡事故,2014-7-16 10:07:00,龙吴路银都路西北约20米,31.110661407341,121.44251697635
3101177201400110,死亡事故,2014-8-3 20:15:00,申港路出华磊路南约500米,31.049313204319,121.33484808114
3101124201400230,伤人事故,2014-9-27 7:10:00,吴中路出环镇西路东约100米,31.180662725161,121.38468442155
3101130201400130,死亡事故,2014-7-31 17:35:00,泰和西路富长路东约500米,31.360013338926,121.42747770989
3101147201400100,死亡事故,2014-8-6 15:35:00,永盛路希望路东约1米,31.361524759857,121.25615848306
3101158201400290,死亡事故,2014-7-2 1:00:00,申江南路周祝公路(南)南约30米,31.087976882476,121.65317828978
3101152201400410,死亡事故,2014-9-21 22:32:00,高科中路伽利略路东约1米,31.19898097448,121.62266499586
3101148201400120,死亡事故,2014-8-30 6:40:00,宝钱公路沪宜公路北约1米,31.429180650846,121.21732566112
3101157201400420,死亡事故,2014-9-27 18:10:00,南团公路进宣黄公路南约300米,31.002490885793,121.76946215401
3101121201400180,死亡事故,2014-7-22 17:09:00,联友路周泾路东北约5米,31.247423527141,121.27194583499
3101097201400020,伤人事故,2014-7-21 15:15:00,周家嘴路公平路南约00米,31.262232415299,121.51027520966
3101134201400120,死亡事故,2014-7-8 9:29:00,其他路大华路301弄83号,31.276903253723,121.42172311539
3101171201400110,死亡事故,2014-8-12 9:55:00,同利路进盛龙路西约500米,31.114428743318,121.32007107767
3101168201400090,死亡事故,2014-10-14 17:54:00,卫六路进板桥西路南约100米,30.71767764778,121.30750079582
3101157201400420,死亡事故,2014-9-23 10:10:00,栏学路科农路东约1米,31.178794445608,121.67298910448
3101133201400130,死亡事故,2014-7-30 9:16:00,宝安公路进联杨路西约200米,31.38416979434,121.3446881206
3101146201400110,死亡事故,2014-8-21 12:45:00,金昌西路老翔黄路西约300米,31.295802103049,121.28460553058
3101174201400120,伤人事故,2014-8-10 21:00:00,九泾路进沧泾路北约200米,31.147217167335,121.29794169513
3101165201400080,死亡事故,2014-9-17 12:14:00,亭枫公路金石公路东约50米,30.894901926884,121.20347937313
3101123201400240,伤人事故,2014-9-29 21:50:00,银都路景洪路西约200米,31.110661407341,121.44251697635
